Static Library Name,Number,Street,Town,Postcode,Tel No,X COORDINATE,Y COORDINATE
Ardoyne Library,446-450,Crumlin Road,Belfast,BT14 7GH,028 9050 9202,331131,376131
Ballyhackamore Library,001-003,Eastleigh Drive,Belfast,BT4 3DX,028 9050 9204,337952,373959
Belfast Central Library,124,Royal Avenue,Belfast,BT1 1EA,028 9050 9150,333722,374686
Chichester Library,109,Salisbury Avenue,Belfast,BT15 5EB,028 9050 9210,332965,377688
Colin Glen Library,Unit 17,"The Dairy Farm Centre, Stewartstown Road",Belfast,BT17 0AW,028 9043 1266,328119,369828
Cregagh Library,409-413,Cregagh Road,Belfast,BT6 0LF,028 9040 1365,336143,371283
Falls Road Library,49,Falls Road,Belfast,BT12 4PD,028 9050 9212,332347,374131
Finaghy Library,38B,Finaghy Road South,Belfast,BT10 0DR,028 9050 9214,330520,369835
Grove Library,120,York Road,Belfast,BT15 3HF,028 9050 9244,334106,376724
Holywood Arches Library,004-012,Holywood Road,Belfast,BT4 1NT,028 9050 9216,336488,374235
Lisburn Road Library,440,Lisburn Road,Belfast,BT9 6GR,028 9050 9223,331784,371048
Newtownbreda Library,53A,Saintfield Road,Belfast,BT8 7HL,028 9070 1620,335249,369846
Ormeau Road Library,247,Ormeau Road,Belfast,BT7 3GG,028 9050 9228,334373,372391
Shankill Road Library,298-300,Shankill Road,Belfast,BT13 2BN,028 9050 9232,332195,374805
Suffolk Library,86,Stewartstown Road,Belfast,BT11 9JP,028 9050 9235,328896,370783
Tullycarnet Library,80,Kinross Avenue,Belfast,BT5 7GF,028 9048 5079,340252,373420
Whiterock Library,10,Whiterock Road,Belfast,BT12 7FW,028 9050 9236,330207,373516
Woodstock Library,358,Woodstock Road,Belfast,BT6 9DQ,028 9050 9239,335748,373119
